path,size,sha256,all_zero
fbneo/fbneo/10yard.hi,141,93cb66b935e27adf58183105e06c791ee32de1d86e315584b05a09c1c43060e6,0
fbneo/fbneo/10yard85.hi,141,93cb66b935e27adf58183105e06c791ee32de1d86e315584b05a09c1c43060e6,0
fbneo/fbneo/10yardj.hi,141,93cb66b935e27adf58183105e06c791ee32de1d86e315584b05a09c1c43060e6,0
fbneo/fbneo/1941.hi,124,0edb647b272e4f2e9219344ecfab21b9aa60f82198ba23fe6d7bb9b3798dedbd,0
fbneo/fbneo/1941j.hi,124,40b6f2029ff1117447a90e2b029a89a7111aa483769dad0d288d597d33083570,0
fbneo/fbneo/1941r1.hi,124,a956d895a39bc7d720a74d1006e999aa6279a5ee5b35007d59cfb53f80759cb1,0
fbneo/fbneo/1941u.hi,124,bf194a5b475c868745425ad3d953a6bd7664c8635f2f736fcf75f24264ccc28e,0
fbneo/fbneo/1942.hi,410,f70d08f014efe47db2e6170116e38bb669d7c0f422e1df7463e107f064ecbedd,0
fbneo/fbneo/1942a.hi,410,f70d08f014efe47db2e6170116e38bb669d7c0f422e1df7463e107f064ecbedd,0
fbneo/fbneo/1942abl.hi,410,f70d08f014efe47db2e6170116e38bb669d7c0f422e1df7463e107f064ecbedd,0
fbneo/fbneo/1942b.hi,410,f70d08f014efe47db2e6170116e38bb669d7c0f422e1df7463e107f064ecbedd,0
fbneo/fbneo/1942w.hi,410,76a65ed073064cc45d7097511fcabe7efad3b34f954d8bf2b412e97794810004,0
fbneo/fbneo/1943.hi,111,2337afd8767bed5cb99ec252ba45982f48819a1bad6aee0bfacdea3c3439c990,0
fbneo/fbneo/1943b.hi,111,0686c5be07c217cc43b70501a09605ab42de08d2c3039e5aae9a119e81861c8d,0
fbneo/fbneo/1943j.hi,111,0686c5be07c217cc43b70501a09605ab42de08d2c3039e5aae9a119e81861c8d,0
fbneo/fbneo/1943ja.hi,111,0686c5be07c217cc43b70501a09605ab42de08d2c3039e5aae9a119e81861c8d,0
